device_id,gender,age,group
7761134629352961054,M,21,M22-
6927671656924395665,M,26,M23-26
5984369821078450685,M,26,M23-26
2959524852145775517,M,30,M29-31
-2114716321141097556,M,30,M29-31
699478504411407472,M,27,M27-28
-1872001393673636989,F,26,F24-26
-4872982505937593114,M,39,M39+
-4430857349056469253,F,20,F23-
-5340398384027830118,F,20,F23-
1704840088089510706,M,24,M23-26
-4246359349357769983,F,28,F27-28
-8165550889984892199,F,28,F27-28
4297455138616652485,M,29,M29-31
-1747655920783302206,M,27,M27-28
2275434704754261644,M,24,M23-26
3752341244715056358,M,41,M39+
-754365920636902161,F,25,F24-26
-5638884600299366389,M,28,M27-28
4816687632811889210,F,31,F29-32
593669313143296408,F,31,F29-32
248228453883119456,F,28,F27-28
8561987004157629214,M,30,M29-31
-448645680703615976,M,31,M29-31
-8887145707214349266,F,28,F27-28
-7154614355022595143,F,29,F29-32
-5352494765561872354,F,29,F29-32
6203757811505041868,F,23,F23-
8213642428559590445,F,36,F33-42
-8018890275127066945,M,24,M23-26
7222366654900852519,F,22,F23-
6123790560434642813,M,38,M32-38
8369299031756452885,F,36,F33-42
-7861418408615064463,F,23,F23-
9146497636646056842,M,35,M32-38
-2489556190686427591,M,35,M32-38
-3274254800053988869,M,33,M32-38
-8344622686419295900,M,33,M32-38
-7464543035045993775,M,33,M32-38
-2999736920417270580,F,22,F23-
3190702475320666496,M,29,M29-31
6709821453224441026,M,38,M32-38
6021983857045701513,F,27,F27-28
-6494821234293367565,M,37,M32-38
8749724299667578438,M,34,M32-38
-3113143023563671753,M,37,M32-38
-5028220390242257416,F,27,F27-28
-3794473641159391327,F,34,F33-42
3141753394038535319,M,41,M39+
-4917609465027922615,M,21,M22-
-1516688507910543815,F,43,F43+
4142956234059879708,F,33,F33-42
-4917418725007279484,F,30,F29-32
-7516440352534368031,M,31,M29-31
6439649945388461116,M,28,M27-28
-7348867500610951647,M,31,M29-31
-8163914028422841035,M,31,M29-31
1603640831768213530,M,28,M27-28
-8003284722005509153,M,28,M27-28
-5203038592600087183,M,32,M32-38
-4810626615146220634,M,32,M32-38
8862410784192965428,F,36,F33-42
2939637043564785302,F,46,F43+
8753601250612921480,F,51,F43+
-5116656739499156887,F,51,F43+
-7646353414568593628,M,30,M29-31
-5189881483734033534,M,46,M39+
-4996365611575224625,M,46,M39+
-6711641544479668924,M,34,M32-38
6206722327442379463,F,31,F29-32
3493988831547441804,M,32,M32-38
4366005122372201003,M,24,M23-26
1386963267590573431,M,24,M23-26
-6330378243113796645,M,34,M32-38
-7865367115690889902,M,38,M32-38
-1858006844990046411,M,31,M29-31
-3228486232941564156,F,28,F27-28
-5602557068543221619,F,28,F27-28
-1451022929123789871,F,28,F27-28
7790659424525077194,F,28,F27-28
8920285886738674998,M,28,M27-28
-4852607865204248032,M,31,M29-31
-2426517319208539667,M,31,M29-31
-8249736197215467956,M,41,M39+
2270921318416256658,M,25,M23-26
-1319995297521489561,M,31,M29-31
9138019064415706007,F,36,F33-42
-7319671561866655769,F,36,F33-42
2978253634008558593,M,38,M32-38
8061585136093547923,M,38,M32-38
-8545729738118500183,M,26,M23-26
1474139374992166898,M,22,M22-
1601488851299080757,M,33,M32-38
8655869457573847114,M,33,M32-38
3611992091268251668,F,31,F29-32
4192900550916502009,M,27,M27-28
7085696727020395428,M,29,M29-31
-7040791784866622265,M,39,M39+
4329078646062358068,M,35,M32-38
3456872842738035793,M,34,M32-38
-2966512100134318742,F,30,F29-32
2040535522516268215,F,23,F23-
-3310045835362138089,F,32,F29-32
-4699662670867136082,F,46,F43+
-7548291590301750136,M,33,M32-38
-7963397998932390299,M,49,M39+
-7082232536999173876,M,36,M32-38
-6242893361006209354,F,32,F29-32
-2415127400609093036,M,27,M27-28
2894174233476843291,M,21,M22-
2977628559549884847,M,32,M32-38
-2657430017797696536,M,32,M32-38
4497817510933031170,M,32,M32-38
2460194575250181595,M,53,M39+
-5872355609156227199,F,39,F33-42
8069018087348622619,M,53,M39+
4948898765850983971,M,53,M39+
3147394884766951836,M,53,M39+
80935662153622052,M,53,M39+
-7945392883263043020,M,59,M39+
7021855019699124523,F,25,F24-26
-766118996225706089,F,45,F43+
-900650310696232044,F,30,F29-32
-8762995520315894664,M,28,M27-28
5421267314514963969,M,28,M27-28
-529046212852150867,M,28,M27-28
-1895509578144570493,M,31,M29-31
-2478156885124026620,F,24,F24-26
-7279624854596091363,M,42,M39+
5692610091528369777,M,48,M39+
6562806239947577010,M,50,M39+
-7306135389406963510,M,43,M39+
5702872234734716353,M,32,M32-38
6488610263167172153,M,46,M39+
-3529774277648147974,M,38,M32-38
-6000733973296812644,M,24,M23-26
2350979402202438478,M,47,M39+
-621174912844602038,M,34,M32-38
-4153865198013987891,M,70,M39+
9219479903879163716,F,27,F27-28
-2389013266016611875,M,27,M27-28
6565337312089151336,F,32,F29-32
6281195034868006293,F,39,F33-42
-6065952695936634687,M,21,M22-
6391503609295653806,F,24,F24-26
-3227288379325915241,M,35,M32-38
9123392963738377798,M,32,M32-38
-1938435110960608198,M,21,M22-
5636743222462110847,M,27,M27-28
1540134249071138179,F,67,F43+
2844534599979001280,M,33,M32-38
6327103640181623607,M,30,M29-31
7507270603885968883,M,48,M39+
-565124306076115432,M,48,M39+
4419526128131778535,F,44,F43+
-5284404864046190914,F,44,F43+
2060749851566670252,F,44,F43+
-8593265039555205241,M,34,M32-38
-6141801790803850097,F,36,F33-42
-6492462980844783230,M,24,M23-26
6775652294837141141,F,24,F24-26
4258636597181710806,F,30,F29-32
3235635318498361849,M,32,M32-38
3163787231116816284,M,33,M32-38
2824416853940964538,M,19,M22-
-4249929128118593776,M,37,M32-38
6783516722606734308,F,29,F29-32
-2777441777805531461,F,29,F29-32
-5693154089237308179,F,29,F29-32
-225262823313738339,F,29,F29-32
2724015352885630840,F,29,F29-32
-8448590394900141907,M,27,M27-28
338283462287728873,M,26,M23-26
4704542779027368284,M,33,M32-38
1975516998960925196,F,30,F29-32
7116779436642135828,M,29,M29-31
8543316339499766821,F,33,F33-42
6823319585575058469,M,50,M39+
583157140721431142,F,34,F33-42
72999436528877253,F,34,F33-42
7244527048146468873,F,31,F29-32
-7799207332505443834,M,31,M29-31
-4555256352171659738,F,22,F23-
9022373770725490123,F,22,F23-
1714287570154592293,F,48,F43+
-2141028849447517652,M,52,M39+
-3007290059075922008,F,31,F29-32
6677898008001741134,F,31,F29-32
2130490974990662039,M,25,M23-26
-1791818818985507554,M,25,M23-26
8724849398259744677,F,27,F27-28
-2135911353025150071,M,26,M23-26
-5977779196775749873,M,41,M39+
-9134556132023507861,F,29,F29-32
-49730763913378432,M,31,M29-31
1459080085082043728,M,31,M29-31
7050857104490950917,M,34,M32-38
-5401753062424811373,M,51,M39+
3604511296492842086,M,32,M32-38
-3226520822719883647,M,27,M27-28
-2094691511186450567,M,22,M22-
-4466935442609903897,M,32,M32-38
-6785716032312317966,M,38,M32-38
3500307892205027190,F,33,F33-42
-1117454837751951991,M,35,M32-38
8118936935913363277,M,25,M23-26
-1357401245479679056,F,39,F33-42
-318708851494203604,F,38,F33-42
7610335843466648867,M,24,M23-26
2320542621284956663,M,24,M23-26
6348079742918185023,M,24,M23-26
1444928900010815808,M,39,M39+
3744909594455282523,M,46,M39+
5255430446391714185,M,27,M27-28
-7650841846815498584,M,26,M23-26
-6797960682712450133,M,30,M29-31
-8146966056838942606,M,25,M23-26
-9153245537488288364,M,25,M23-26
-360233945138979577,F,39,F33-42
1663389245555042663,M,27,M27-28
5805575799056444427,M,42,M39+
6448757979883417999,M,36,M32-38
-954680535608637556,F,24,F24-26
3654345234677910057,F,24,F24-26
7562411939803512882,F,45,F43+
-2874573589030714776,F,26,F24-26
-6652140857336427673,M,31,M29-31
-3174514444476368200,F,29,F29-32
8972321560616453482,M,35,M32-38
-4935335315811963318,M,35,M32-38
8276999935602524746,M,39,M39+
3402994260166624775,F,32,F29-32
5108142823291112751,M,45,M39+
3471451329225031495,M,31,M29-31
-6791581020624214971,F,29,F29-32
-2094586929577583000,M,29,M29-31
-2683545177557247024,F,47,F43+
-4214293157750794619,M,29,M29-31
1459738584733677563,M,29,M29-31
1469006017306955518,M,24,M23-26
5297854804165140682,F,45,F43+
7231270196225939131,M,22,M22-
700830215931679317,M,25,M23-26
-637891494492896017,M,25,M23-26
8668918402869143275,F,28,F27-28
1888521065893978058,F,28,F27-28
2825141601023672167,F,42,F33-42
4449470138586525722,F,30,F29-32
-8366131750644256209,M,22,M22-
-3534551426935880265,F,47,F43+
1502461605760473195,F,44,F43+
-4771881468336909132,M,40,M39+
-5685117998885564353,M,36,M32-38
8161044391542216225,M,52,M39+
-4198791070540130017,M,37,M32-38
-8475312114246077271,M,37,M32-38
1319324274909532362,F,29,F29-32
-1177635519148501584,F,29,F29-32
4189762977638537239,F,29,F29-32
-3077937920672001811,F,28,F27-28
-3244096424715237105,F,28,F27-28
-4671788193261470496,F,28,F27-28
113979950782839877,M,30,M29-31
503143391156241086,M,30,M29-31
-6042908553950254235,M,27,M27-28
-345871495580169903,M,35,M32-38
9106723912388896801,M,29,M29-31
7284031010300954848,F,37,F33-42
4032612108650097762,M,32,M32-38
8352592309255706786,M,34,M32-38
7705384213380232481,M,33,M32-38
1123870157669170491,M,27,M27-28
7921733448240571356,M,42,M39+
2399914927947537397,M,42,M39+
6277401130315436930,M,26,M23-26
5441095450799834215,M,30,M29-31
-4005849076109412284,M,63,M39+
-179790220800402751,M,26,M23-26
7866598770427892860,M,35,M32-38
-5493563917628184466,M,29,M29-31
9203006693435653275,M,27,M27-28
2355041056604318522,M,38,M32-38
1411171847723420780,M,25,M23-26
-6985934243613826863,M,34,M32-38
7352701797930096128,F,27,F27-28
8848742706511928763,M,30,M29-31
-6583823906225667083,M,21,M22-
-7771398025617818409,M,21,M22-
-7691879765552453435,M,35,M32-38
2464684863257435773,M,35,M32-38
6604280119591140661,M,42,M39+
-20667435396379759,M,30,M29-31
5581064628061795937,M,29,M29-31
-8587610512543135636,F,27,F27-28
5413704986152654312,M,45,M39+
3504563730603386282,F,60,F43+
6863112459383289362,M,33,M32-38
3675909796369127445,M,33,M32-38
-5317745724179407738,M,37,M32-38
6423288831466633660,M,27,M27-28
8312667491634467650,M,26,M23-26
-8164663270002147627,F,34,F33-42
-1759997501338681850,M,26,M23-26
3036600127070433664,M,38,M32-38
3603255247253715956,F,42,F33-42
-6294981216321531814,F,48,F43+
-167571000635525578,M,39,M39+
-1045655858343636006,F,27,F27-28
1255915588387999803,M,47,M39+
-9211636527106625314,M,31,M29-31
6140506024248427109,F,22,F23-
3679272092861009086,M,29,M29-31
1187259603731284031,M,29,M29-31
-655444116637802254,M,47,M39+
2510851418746740937,M,36,M32-38
-7702849433553367406,M,24,M23-26
-7344170352548055641,M,24,M23-26
-1176968711259010606,M,29,M29-31
6427638870670310680,M,20,M22-
-4277494943660351916,M,47,M39+
-2213794781340645248,F,33,F33-42
5112375494822102110,M,46,M39+
-4597930075539490849,M,46,M39+
-2176202895717029268,M,30,M29-31
-4837437557348002889,M,35,M32-38
678054189899995599,M,35,M32-38
3634584596342582895,M,27,M27-28
6242045993734232436,M,61,M39+
7497850677598683461,F,23,F23-
-3641970131210381534,M,33,M32-38
8522618421597953014,M,28,M27-28
-6018160454764528851,F,39,F33-42
6788691223026392889,M,29,M29-31
5785252018416191581,M,35,M32-38
-6739684703749059557,M,43,M39+
-5066301088967309406,M,23,M23-26
-3352337094847398864,M,21,M22-
3050020885746905033,M,21,M22-
7464518683724727658,F,33,F33-42
4977791024608210667,M,31,M29-31
6824596868855223630,M,44,M39+
-7044168722752090349,M,20,M22-
3344241795823208895,M,24,M23-26
6703232543519770914,F,60,F43+
589557985088430288,F,35,F33-42
8946598892027654292,F,29,F29-32
-7083853366829402397,M,29,M29-31
-2001567280649176448,M,29,M29-31
646307682968211609,M,24,M23-26
-4986392845443402625,F,33,F33-42
-5487152191347785398,F,44,F43+
2662126988550136306,F,78,F43+
-6630551694025657184,F,29,F29-32
7958696823479453960,F,29,F29-32
9047713447193243097,M,24,M23-26
-4307993308323975261,M,28,M27-28
5861119094982137442,M,31,M29-31
-4377371438971174786,M,31,M29-31
-4374356101743562672,M,31,M29-31
1442070159850622197,M,29,M29-31
1352886169581418887,M,35,M32-38
-1940964897031620305,M,27,M27-28
6019832031671410230,M,24,M23-26
2048082274046894024,M,24,M23-26
-6032484110824395920,M,24,M23-26
-1582252749329288852,M,23,M23-26
6655529407431740036,M,31,M29-31
-1474792823754483907,M,30,M29-31
1029904277495989007,M,30,M29-31
720756603628213494,M,27,M27-28
6310961650826747907,F,27,F27-28
2407358055337822629,M,27,M27-28
-4217973406658219504,M,47,M39+
-5179541163565136976,M,45,M39+
-4551768034596689389,M,39,M39+
6356675767217309603,M,24,M23-26
6008495818349839326,M,32,M32-38
-2790183384476760306,M,37,M32-38
9149103074456470249,M,30,M29-31
1695761527019641539,M,34,M32-38
-5383319989100702684,M,34,M32-38
-8386606593312868092,M,29,M29-31
4889327164992412585,M,29,M29-31
-6153673241974140087,M,41,M39+
-2037634822852281255,M,38,M32-38
-7096688265900000579,M,26,M23-26
-8679605999382303581,M,56,M39+
-1983931105460838223,M,39,M39+
-3846422794537928556,M,37,M32-38
-7120133646302952092,M,40,M39+
4573555264680860597,M,38,M32-38
-9080632005894836087,M,21,M22-
5239934703976628317,M,38,M32-38
-4093873478471274301,M,26,M23-26
-3808211154648602735,M,28,M27-28
-3528523897959651909,M,39,M39+
-5920211050759233549,M,39,M39+
-5177331251703379618,M,32,M32-38
291962812379126626,M,32,M32-38
-3861862675756404953,M,32,M32-38
8353740206445735179,M,23,M23-26
1163952773185536842,F,39,F33-42
-873214840155221503,M,35,M32-38
-6058512568653763470,F,35,F33-42
-6868379650375898437,M,26,M23-26
-2330036225904384801,F,25,F24-26
1822607312031879171,M,35,M32-38
3288693535742394934,M,26,M23-26
3439985609749922150,M,39,M39+
-1688527666462535726,M,44,M39+
-2828331636363738843,M,44,M39+
-602351730740783793,M,44,M39+
1325987205615111172,M,44,M39+
-2802543599440680842,M,38,M32-38
6090310796599938899,M,27,M27-28
-5514406392341151487,F,27,F27-28
3796280135236396817,F,22,F23-
332380340265563941,F,37,F33-42
7123479605708697395,F,37,F33-42
6026687977234910115,F,37,F33-42
4505562063265677513,F,37,F33-42
4981382137382970454,M,34,M32-38
-236963596009956963,M,25,M23-26
-229180280378644612,F,31,F29-32
812521723479166670,M,29,M29-31
4530013951351880954,F,42,F33-42
1318303222997853851,F,33,F33-42
5031308204970224592,M,24,M23-26
7576677397230418334,M,24,M23-26
7552099237693808316,M,23,M23-26
1119943039459733860,M,32,M32-38
8780875081637886518,M,36,M32-38
1043546028888154415,M,29,M29-31
-8295193153214873881,M,31,M29-31
1874308258075089641,M,33,M32-38
-184400817050772603,M,26,M23-26
-7603777855807306454,M,32,M32-38
-5181402337880396912,M,50,M39+
8134709830571845726,M,28,M27-28
-7065078100475716045,M,27,M27-28
552498749193063741,F,22,F23-
8761770737926125955,F,22,F23-
-4844946365893487136,M,32,M32-38
-5000507903395027839,M,36,M32-38
-244415756622179948,F,45,F43+
-3086495925588504008,M,25,M23-26
4690577651905751454,M,26,M23-26
1895275241111410061,M,29,M29-31
4978373534460377887,M,45,M39+
2973015864073168250,F,27,F27-28
2080579331913165589,F,43,F43+
8720083342483823841,M,27,M27-28
2389384819016317481,M,28,M27-28
-5611722417377626845,M,38,M32-38
-557453964647696216,M,37,M32-38
5980555560479015572,M,28,M27-28
2772316738047304946,F,33,F33-42
-6233661495000219593,M,35,M32-38
8336875548926735477,M,39,M39+
-280792878984386324,M,27,M27-28
-8665947049306807542,M,28,M27-28
-4545977437136433255,M,28,M27-28
-8382006046590136079,M,65,M39+
-5693598844768112670,F,38,F33-42
1294088097492388254,M,29,M29-31
-8556957033165979792,M,33,M32-38
4603814831359865578,F,27,F27-28
-2441997096530002111,F,25,F24-26
-6877287750680911522,M,27,M27-28
5993353186365951031,M,35,M32-38
-429243268324577775,M,33,M32-38
8068167578165647993,F,21,F23-
-476136805185072151,F,24,F24-26
2239743897399916630,F,24,F24-26
-6352016173918609049,F,24,F24-26
-1225265882896385622,M,26,M23-26
6103442463969172338,F,24,F24-26
6607167843813496848,M,23,M23-26
7567769845262808695,F,27,F27-28
-6575679788532858282,M,22,M22-
-8373775120252184104,F,28,F27-28
-3060960912794428756,F,32,F29-32
-2263386497719973834,F,25,F24-26
2425712196469098015,M,37,M32-38
5819828849011388017,M,29,M29-31
-4303306460426303766,M,31,M29-31
-3151287449207977360,F,28,F27-28
-6908175429289823652,F,24,F24-26
7283212553045812974,M,48,M39+
3455329865379031063,F,23,F23-
8122538296654843910,F,23,F23-
6545829736541135762,F,32,F29-32
-1352971490438520298,M,58,M39+
1830977800029584826,M,23,M23-26
7589944181455401696,M,31,M29-31
-4562868606216655042,M,23,M23-26
-8267593724208020595,M,22,M22-
-4462949239456847644,F,33,F33-42
8139979595744739956,M,31,M29-31
4489130943120478197,M,33,M32-38
7855796739862822440,M,33,M32-38
-7232119701913724901,M,35,M32-38
2916492334541429963,M,21,M22-
-8556224142279945015,M,26,M23-26
8212624264342837651,F,46,F43+
5746873171138935874,M,22,M22-
-1889033480958016238,F,42,F33-42
2195335594844094753,F,42,F33-42
3307527014822292766,F,26,F24-26
-7994663434773874663,M,26,M23-26
4474091956427439415,F,21,F23-
-4100601935100144456,M,20,M22-
-8345182684710435434,F,28,F27-28
4919779603258636370,M,30,M29-31
-1954607149185073844,M,31,M29-31
1756263286013259682,F,25,F24-26
9207787349472356557,F,25,F24-26
5688826388913067086,F,24,F24-26
3934934395617094031,M,30,M29-31
1356097039154028040,F,24,F24-26
6239423502551981723,F,48,F43+
-6188687531249685859,M,29,M29-31
-5762038527485744367,M,22,M22-
9184963992247652631,M,28,M27-28
-7052719623154709360,M,25,M23-26
5497917570934923139,M,25,M23-26
5199501260865897629,M,22,M22-
4817078779940161981,M,22,M22-
-51750163801907850,F,22,F23-
1111484923755793372,F,22,F23-
4100316791460108477,M,20,M22-
-1891588492640041559,F,26,F24-26
6531672631308745261,M,43,M39+
7766418226696443142,M,26,M23-26
3821765784939856800,M,23,M23-26
8427667165276516409,M,34,M32-38
-5424968430956426798,F,24,F24-26
-7324369287810342925,M,23,M23-26
-1686327245264629942,M,42,M39+
-920676380266502164,F,22,F23-
-3132167788374472541,M,26,M23-26
2566965360077727779,F,24,F24-26
6341873412278035467,F,29,F29-32
283151695342775598,F,29,F29-32
-2405582520624040607,F,29,F29-32
6452262489405534657,F,24,F24-26
-3654173299440079718,F,24,F24-26
-5533049833247758243,M,21,M22-
8567125034063848708,F,25,F24-26
3129094543007770603,F,20,F23-
8802247658835316864,F,27,F27-28
-6896857513293590628,F,27,F27-28
7099572251426077823,F,21,F23-
4169579345658395579,M,21,M22-
-320934505147790930,M,21,M22-
-3711568206807815381,F,30,F29-32
-2514012772375917529,M,39,M39+
4360315587716027479,M,20,M22-
-7783426489126424162,M,20,M22-
6901454746287513697,M,20,M22-
991137519522277857,M,20,M22-
2816058300929426287,M,20,M22-
-7284154769153384474,M,20,M22-
72619722599122472,M,20,M22-
-1633084237568254787,F,22,F23-
266598286759225880,M,29,M29-31
-6403572455003976570,M,35,M32-38
7504679594395103702,M,36,M32-38
4789204688675568150,M,29,M29-31
-2726030791460218136,F,22,F23-
-6777739487963556282,M,23,M23-26
8429238081983048014,M,41,M39+
7105286326770848100,F,30,F29-32
7825425485977209626,F,30,F29-32
-5462293806292385274,M,21,M22-
-1847317782088679119,M,20,M22-
5615244592642498159,M,20,M22-
4871684940984050877,F,34,F33-42
8497952435614723307,F,34,F33-42
3608732192276702589,M,26,M23-26
8512805238634502234,M,21,M22-
-1562096238246403266,M,26,M23-26
-3164037806420057128,F,21,F23-
-3430460284808041981,M,29,M29-31
4782818509742237099,M,34,M32-38
-2801576702987903744,M,34,M32-38
8525424737557216450,M,22,M22-
4899921266881369610,M,22,M22-
8336949864011006855,F,36,F33-42
-5600730878380485214,F,31,F29-32
-2470383375942730835,F,31,F29-32
8737555301670840212,M,19,M22-
-2289980470972914582,M,23,M23-26
8249445891956836787,M,23,M23-26
6162372511985048741,M,23,M23-26
-3282973596598697750,M,34,M32-38
-8263208485823447044,M,27,M27-28
-9177698159910455532,F,32,F29-32
5203430653181720743,M,17,M22-
356520478854373064,F,25,F24-26
7678236292142484082,F,27,F27-28
492533159890295341,F,21,F23-
-4893865424406334764,F,32,F29-32
-6864731714065740021,F,21,F23-
-22473684698194950,M,17,M22-
473071926003296712,M,19,M22-
-5729489580637816452,F,19,F23-
-7345618372322051389,F,19,F23-
1208777562949892492,F,31,F29-32
385823142853736548,F,31,F29-32
-4735382375325691891,M,22,M22-
-4417546389678328866,F,21,F23-
-295437681750492352,M,20,M22-
1557837677453886064,F,27,F27-28
8325412457274125679,F,27,F27-28
989663811919883179,M,29,M29-31
8283059944440954104,M,29,M29-31
-4950499031450221003,M,29,M29-31
8659293525381562711,M,21,M22-
5491270369830480293,F,45,F43+
2877482175246871880,M,20,M22-
-2451484506636622166,M,24,M23-26
3099930789019940676,M,29,M29-31
-5316473273801260378,F,20,F23-
-6072435932733730305,M,26,M23-26
1244924161226799900,M,26,M23-26
-8170146072812130676,F,22,F23-
7837307528716148320,F,22,F23-
-1356902156255252339,F,20,F23-
-3898045713019773074,M,23,M23-26
-3307135362322431632,M,23,M23-26
4057329207163324453,F,22,F23-
-1315678062659181276,F,29,F29-32
6680563250977345388,M,19,M22-
7469255792590954984,F,23,F23-
-1668558797524371503,F,29,F29-32
-797597256965011700,F,24,F24-26
-333661782897496896,F,24,F24-26
-3216501563050439320,F,24,F24-26
-1526622617359361955,F,45,F43+
7491319753979859549,M,22,M22-
1228607175978508824,M,23,M23-26
-8519318732470795928,F,42,F33-42
7651091592968734555,F,42,F33-42
8556982416315216185,M,24,M23-26
5953817662862883781,M,24,M23-26
7781851798734733403,M,24,M23-26
-5642148977702922033,M,24,M23-26
-6629944130878284064,M,24,M23-26
4689994512548055605,F,27,F27-28
-1727737396078297139,F,30,F29-32
-6381794413390699399,F,19,F23-
7729148314349457415,F,21,F23-
-1843450627111946877,M,21,M22-
-212191571026065176,M,21,M22-
-7204440477456772063,M,20,M22-
-3293430962013612634,M,25,M23-26
-1701191455664527266,M,25,M23-26
-9008782116598554138,M,23,M23-26
-9170975645986902037,M,23,M23-26
-3222540460345564171,M,28,M27-28
-6527390788320723217,M,21,M22-
-1012430198114507471,M,21,M22-
-5926113374593677418,M,29,M29-31
-2514431717601449853,M,29,M29-31
7853842154200083534,F,28,F27-28
3812807856177764023,M,23,M23-26
-5238266931153652068,M,21,M22-
-5175023799434636793,F,31,F29-32
-2506093401230353546,F,20,F23-
2266863185840545980,M,27,M27-28
-3927753740422355517,F,29,F29-32
6038400330950356320,F,22,F23-
-4861923574095466489,F,34,F33-42
5225546985734145250,M,30,M29-31
5087686479453039142,M,22,M22-
-3199904022391181984,M,22,M22-
-9015902738711771328,M,22,M22-
-6500915528694486429,M,23,M23-26
-8657137191584682458,M,22,M22-
8680799468292419721,F,25,F24-26
8597136060207936321,M,31,M29-31
8507377938081140935,F,24,F24-26
-6962276291057399691,M,21,M22-
-7315337515783864482,M,21,M22-
-8480612723734037982,M,40,M39+
7132583961483928399,M,38,M32-38
6494711304418137334,M,20,M22-
-8708762219718085185,M,20,M22-
3499681829978537553,M,23,M23-26
-1937027962234299179,F,38,F33-42
2287449004006642352,F,28,F27-28
5090980568587832805,F,28,F27-28
5132236745990365339,F,28,F27-28
-4948056472678477615,M,36,M32-38
-3620183035368751296,F,21,F23-
-80890961266952041,F,25,F24-26
7344017656613380338,F,24,F24-26
4044377088870916300,F,16,F23-
1478614427793108417,F,23,F23-
5286209527709504485,M,20,M22-
-7603156713792745674,M,22,M22-
-8948604730896689003,M,26,M23-26
-6159616074389647926,F,29,F29-32
-6944850403989407181,M,25,M23-26
-4289910579121086844,F,28,F27-28
