RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,ID,ACTION
38704,33591,117916,118011,117884,117885,117913,117887,117888,6174,1
45192,7220,117961,118225,120551,117905,240983,290919,117908,20796,1
34808,17414,118752,119070,118042,118043,118043,270488,118046,8051,1
105046,70062,117961,118386,118746,117905,117906,290919,117908,26537,1
19947,1146,117961,118225,120663,117905,117906,290919,117908,22864,1
75078,109452,91261,118026,121533,119962,168365,118205,119964,21946,1
42710,15484,118256,118257,118623,118995,286106,292795,118997,30405,0
43872,2270,117961,118413,120584,120773,118959,118960,120774,14131,1
31859,2163,118219,118220,120694,118777,242184,308574,118779,29738,1
34924,4589,117961,118327,120383,117905,290919,290919,117908,18650,1
28598,23154,118315,118316,118317,307024,311622,118331,118332,30741,1
74302,2072,118138,118139,131868,119192,308590,119184,119194,3734,1
43600,5496,91261,118026,118202,118321,117906,290919,118322,21383,1
73815,95845,118315,118463,122636,119172,122637,118467,119174,19155,1
79092,13800,117961,118225,118403,118685,126297,308574,118687,4447,1
2235,2229,117961,118413,118450,179731,215946,117887,117973,3860,1
31200,7665,117961,118343,120722,117905,117906,290919,117908,25855,1
4675,5262,119596,119597,123719,118321,117906,290919,118322,19920,1
74874,56597,118079,118080,117878,117879,304519,19721,117880,32232,1
26826,17156,117961,118300,118810,123082,197687,19793,123084,21449,1
33248,52735,117961,118052,120356,122067,127906,118424,122069,24464,1
3127,5717,117961,118300,124725,117905,117906,290919,117908,5102,1
312039,52426,118887,118888,142493,118912,173879,118424,118914,10301,1
33151,53150,119062,119091,128935,118863,127778,118398,118865,1297,1
4675,25,117961,117962,122224,117905,240983,290919,117908,30210,1
32642,15644,118752,118753,118623,280788,193644,292795,119082,7713,1
13878,53230,117876,117877,117878,118568,292195,19721,118570,9418,1
25993,18213,117961,118386,118746,118747,160002,118453,118749,10479,1
20738,120693,117961,118300,120694,118054,118054,117887,118055,11925,1
44724,52423,119665,119666,117895,117899,267952,19721,117900,26232,0
79092,16830,117961,118327,119830,120773,118959,118960,120774,16215,1
13878,84129,118000,118001,117941,117879,117897,19721,117880,18026,1
27122,58849,117961,118327,118492,118747,125738,118453,118749,8765,1
31044,770,117961,118300,119181,118451,130134,118453,118454,21178,1
73815,28232,118315,118463,118522,123651,151811,118467,123652,22160,1
39487,7553,117961,118225,118403,118784,118785,290919,118786,4059,1
34921,5652,117961,118300,121305,118784,124402,290919,118786,9397,1
27323,16850,117961,118225,119092,119093,120324,119095,119096,7739,1
84071,70168,117961,118052,118053,118636,122158,118638,118639,14023,1
14570,65460,118079,118080,117878,117879,118177,19721,117880,25734,1
79092,13419,117961,118300,120059,120812,305057,118638,120814,27447,1
79328,4219,117961,118300,120312,120313,144958,118424,120315,29,1
80501,7252,117961,117962,118352,117905,117906,290919,117908,32493,1
39331,18686,117961,118386,121883,118321,117906,290919,118322,22033,1
13878,14650,118219,118220,117920,117899,117899,19721,117900,22941,1
22682,7510,117961,118446,118684,118784,118785,290919,118786,6032,1
7543,81619,118990,118991,118992,117905,120828,290919,117908,13649,1
18407,771,117961,118300,120722,118784,152747,290919,118786,14426,1
25993,2296,117961,118413,277693,123737,127475,118960,123738,15287,1
30628,6216,117961,118052,118328,299559,236756,118205,163732,16113,1
4673,13836,119920,119921,142145,128230,302830,4673,128231,4345,0
3853,15982,117961,118413,123003,118685,120316,308574,118687,26573,1
79276,2354,117961,117962,118501,118502,118503,118504,118505,2644,1
4675,7212,117961,118343,124725,118784,117906,290919,118786,1869,1
32270,25872,118169,118170,118575,117946,135255,292795,117948,13002,1
20293,27911,117926,117927,117941,117879,124672,19721,117880,22835,0
42093,18454,117961,118343,119598,125171,257115,118424,125173,17944,1
43822,189,117961,118413,121639,117905,240983,290919,117908,960,1
81043,6454,117961,118343,118856,117905,172635,290919,117908,984,1
31223,49353,117961,117962,118910,117905,117906,290919,117908,11389,1
73129,1584,117961,118327,128935,118396,299403,118398,118399,16664,1
18418,13814,117961,118343,119598,120497,133686,118424,120499,22152,1
28074,17790,117961,118225,119924,117905,240983,290919,117908,6241,1
7543,7560,117961,118300,119195,117905,117906,290919,117908,13427,1
29024,131441,117961,118343,118292,119433,133686,118424,119435,20366,1
16232,5916,117961,118446,16232,117905,117906,290919,117908,26540,1
18221,1652,117961,118327,118507,179731,135309,117887,117973,19400,1
15369,16713,117961,118343,118623,307024,118678,118331,118332,4122,1
30999,17852,117961,118446,119969,123082,126470,19793,123084,7585,1
35376,18211,117961,118386,119214,118259,120721,290919,118261,28586,0
25280,5178,117961,118343,118660,118826,158101,118424,118828,29707,1
39323,28163,118315,118316,120361,118321,175154,290919,118322,5729,1
20364,15390,117961,118300,118301,120344,311360,118424,120346,8992,1
79092,4740,117961,118446,124170,123067,300044,118398,123068,8158,1
40438,8520,117961,118386,119954,118318,168365,118205,118319,18389,1
25273,4384,118887,118888,118458,118293,138565,118295,118296,27188,1
6707,141,117961,118225,122273,120773,118959,118960,120774,19682,1
75834,2931,117961,118343,119796,117905,117906,290919,117908,2981,1
32270,5047,117961,118300,127284,118826,236735,118424,118828,9687,1
79285,4945,117961,118300,118360,118636,310589,118638,118639,12491,1
17226,46526,117961,118300,119984,123067,269406,118398,123068,1259,1
20897,29576,117961,118343,128742,117985,154744,19793,117987,10779,1
29304,12761,117980,118076,117920,119323,129197,19793,119325,22994,1
19666,2725,117961,117969,19666,118054,118054,117887,118055,21866,1
87824,7445,117961,118343,122299,118054,305057,117887,118055,14888,1
278393,5220,117961,118300,118458,120006,303717,118424,120008,7882,1
19713,1958,118441,118442,118378,119192,300603,119184,119194,26759,1
15064,83934,138798,138799,120539,118054,132494,117887,118055,14556,1
26816,5518,117961,118300,118514,118318,168365,118205,118319,14913,0
79121,3648,117961,118300,118631,126869,283548,118295,126870,5194,1
79924,4589,117961,118327,120383,117905,117906,290919,117908,4057,1
42437,11525,117910,117911,117920,118568,129510,19721,118570,27610,1
33237,8785,117961,117962,117904,118636,310589,118638,118639,4191,1
39325,18190,117961,118386,119954,117905,117906,290919,117908,29700,1
43340,4589,117961,118327,120383,117905,240983,290919,117908,29482,0
73806,1350,117961,118052,122938,117905,117906,290919,117908,10697,1
40867,45963,117961,118386,118896,122645,309858,119221,122647,22279,1
25993,139593,117902,118041,119781,130479,168305,119784,130481,13019,1
32620,43994,117961,117962,118791,307024,306404,118331,118332,12776,1
20364,3954,117961,118343,120291,118422,300136,118424,118425,15252,1
30630,16147,118541,118542,120539,118777,308574,308574,118779,24839,1
40681,70056,117961,118225,118403,118777,279443,308574,118779,18560,1
1581,56663,117902,117903,118507,120990,261540,118398,120992,26965,1
35903,49823,117961,118300,127168,118321,117906,290919,118322,1429,1
40462,6257,117961,118343,120722,118784,117906,290919,118786,31019,1
43231,2594,117961,118300,120410,128230,302830,4673,128231,19277,0
35376,49110,118315,118463,118522,123408,311590,6725,123410,28292,1
32270,12397,117961,118327,121787,123045,123107,120518,123047,23304,1
20292,50641,117926,118124,117941,118568,167402,19721,118570,15196,1
44944,3267,117961,118052,118053,120097,174445,270488,120099,19375,1
43928,50806,117961,118446,119961,119962,168365,118205,119964,17147,1
44909,3270,117961,118225,122870,118563,123784,270488,118565,18900,0
16636,221,117961,118413,120370,118321,118448,290919,118322,7379,1
75047,4500,117961,118052,118881,117905,117906,290919,117908,10827,1
36976,19857,117929,117940,117941,117885,117913,117887,117888,14729,1
79092,4945,117961,118300,118360,118636,171056,118638,118639,1611,1
79092,1222,117961,118327,120171,120647,256168,118398,120649,10544,1
36185,4434,117961,118052,120671,118321,118448,290919,118322,31402,1
79299,17733,117961,118300,119984,118396,269406,118398,118399,23427,1
18394,4925,118887,118888,119362,118636,221103,118638,118639,11163,1
4675,77941,119062,119091,119362,117905,311485,290919,117908,30865,1
75078,2641,117961,118386,118404,118784,121556,290919,118786,1514,1
25231,1216,117902,117903,118507,119529,199963,119006,119531,21041,1
38725,27818,117916,117917,117884,117879,117886,19721,117880,18697,1
34095,7370,117961,118413,118481,127782,230830,290919,127783,8331,1
20226,43398,118752,118753,119121,280788,280788,292795,119082,15656,1
35914,671,117961,117962,118352,117905,117906,290919,117908,29918,1
31641,6047,117961,118413,120370,118321,240983,290919,118322,9645,1
44814,1065,117961,118327,121589,118641,306399,118643,118644,18392,1
13878,27515,118953,118954,117884,117879,117886,19721,117880,15400,0
13878,75345,118126,118237,117895,117879,117897,19721,117880,8042,1
37942,14890,117935,117936,117878,117885,117913,117887,117888,2254,1
31839,58458,117926,118266,117941,118568,281735,19721,118570,26408,1
78108,53747,117916,118150,117941,118568,281735,19721,118570,11524,1
23968,51145,118595,118596,81476,118422,149098,118424,118425,11125,1
16988,6285,117961,118300,132427,117905,117906,290919,117908,24232,1
16301,217,117961,118413,120370,117905,150358,290919,117908,21171,1
75245,52481,117983,117984,117878,118568,292195,19721,118570,18979,1
79092,120744,118602,118603,117878,133111,141959,118870,133113,26549,1
80021,27619,117961,118413,118414,117905,117906,290919,117908,12649,1
740,1443,117961,118343,120722,117905,117906,290919,117908,11031,1
81277,17326,117961,118386,118746,118278,287351,290919,118279,23809,1
28327,6890,117961,118446,118684,118321,117906,290919,118322,15712,1
80555,770,117961,118343,119181,118451,130134,118453,118454,3686,1
81447,7284,91261,118026,118202,117905,117906,290919,117908,8005,1
27411,22629,91261,118026,118317,118784,120474,290919,118786,9606,1
3853,15967,117961,118300,124942,118321,240983,290919,118322,4510,1
6977,4642,117961,118225,120551,118321,240983,290919,118322,21721,1
27730,5043,117961,118300,118458,120344,310997,118424,120346,29456,1
40270,5396,117961,118343,119993,120773,118959,118960,120774,22332,1
31441,8091,117961,118386,118522,118321,117906,290919,118322,30333,1
25442,50255,5110,117954,117895,118568,281735,19721,118570,7809,1
26430,33658,119665,119666,117895,117896,117897,117887,117898,14740,1
71866,4534,118169,118170,118171,119849,239924,118638,119851,13287,1
17183,15682,117961,118300,118957,118321,117906,290919,118322,4153,1
25993,23200,117961,118343,123125,118784,117906,290919,118786,7408,1
20897,94844,117961,117969,121617,121618,121619,121620,121621,24446,1
31374,15384,117943,117944,117945,118274,129282,292795,118276,28027,1
7543,14889,117961,118300,120722,118321,117906,290919,118322,19803,1
4675,52434,118212,118213,123472,118321,117906,290919,118322,26193,1
35066,46704,91261,118026,118202,118321,117906,290919,118322,10543,1
34019,2594,117961,118300,120410,128230,302830,4673,128231,2605,1
38113,49735,117935,117936,117878,117885,117913,117887,117888,14004,1
45314,1958,118550,118551,118378,119192,300603,119184,119194,2587,1
74874,56602,118079,118080,117878,117879,291988,19721,117880,9081,1
33033,21135,117961,118343,123494,118784,121926,290919,118786,24563,0
43781,33591,117916,118011,117884,117879,117886,19721,117880,26969,1
13878,100147,117951,117952,117941,117879,117879,19721,117880,27552,1
109478,743,117961,118300,119181,118784,117906,290919,118786,16536,1
6977,91868,117961,118343,123454,118321,117906,290919,118322,8966,1
39264,59229,117961,119256,120943,126684,126684,292795,126685,14964,1
25993,49772,91261,118026,118746,118747,126309,118453,118749,13328,1
15716,84962,118555,118178,119262,117946,119263,292795,117948,14850,1
35531,4533,117961,118343,118700,117905,117906,290919,117908,26608,1
43911,205,117961,118386,118746,118321,117906,290919,118322,2905,1
39473,7320,5110,117954,122672,128197,273102,119772,128199,2702,1
278393,5115,117961,118300,118631,119928,219829,118331,119929,26387,1
2235,2229,117961,118300,118450,119192,151731,119184,119194,22128,1
75078,55274,91261,118026,118027,121143,129761,249618,121145,2351,1
74638,5490,117961,117962,5488,120560,304465,118643,120562,14867,1
23152,2983,117961,118343,118700,118321,117906,290919,118322,20479,1
105753,3619,119134,119135,125440,118685,126297,308574,118687,29510,1
74421,195311,119301,119302,119303,118784,233216,290919,118786,1751,1
5906,5968,117961,118446,16232,122860,293990,3130,122862,22413,1
36646,6871,117978,117979,117920,117879,117886,19721,117880,14807,0
41279,23989,117961,118446,118701,118702,135780,118704,118705,5775,1
20396,11305,117929,117930,117920,121067,229187,121069,121070,16731,1
28149,36051,117961,118386,118635,119849,282370,118638,119851,14471,1
23497,23118,117961,118343,118833,118834,309123,118424,118836,24702,1
42085,5143,117961,118343,123125,118636,310589,118638,118639,16141,1
32634,141,117961,118225,122273,118321,117906,290919,118322,14722,1
39518,69337,120140,120141,118492,118274,220988,292795,118276,25127,1
29947,60985,118185,31010,117884,118568,281735,19721,118570,30842,1
19982,5507,117961,118413,120370,117905,117906,290919,117908,13197,1
75045,6982,117961,118300,118360,117905,117906,290919,117908,9362,1
6977,5423,117961,118327,118391,123045,123107,120518,123047,31301,1
17769,46254,117961,118327,126310,118641,123881,118643,118644,23738,1
40997,59748,117961,118386,121961,118784,117906,290919,118786,9366,1
41758,3872,117961,118386,118522,118321,117906,290919,118322,1891,0
27124,37090,117961,118413,126229,118777,119925,308574,118779,27002,1
37806,19717,117961,117962,118352,118321,117906,290919,118322,30585,1
75834,5253,118887,118888,120126,118980,188371,118295,118982,31009,1
74754,52194,117961,118052,126137,133718,121386,124136,133719,32369,1
78909,2354,117961,117962,118501,120702,308462,118504,120704,5032,0
35343,1913,117902,117903,118783,120952,122352,118453,120954,3110,1
79121,131441,117961,118343,118292,119433,133686,118424,119435,19351,1
73542,16756,119062,130600,139677,117905,290919,290919,117908,15766,1
44655,158757,120342,120343,118395,118396,266864,118398,118399,8348,1
80835,3120,117961,118300,120312,118054,137017,117887,118055,32723,1
40441,33,117961,118413,119968,118784,117906,290919,118786,26472,1
27348,4125,118887,118888,121108,120006,311746,118424,120008,31712,1
7543,6227,117961,118343,120722,118784,121347,290919,118786,28454,1
33054,5210,117961,118343,119598,118834,133686,118424,118836,28635,1
1003,4642,117961,118225,120551,118321,240983,290919,118322,2210,1
34865,15450,117916,117917,117941,117879,117886,19721,117880,24334,1
42085,22835,117961,117969,19666,118396,236551,118398,118399,13726,1
35540,19858,117929,117940,117941,117879,117886,19721,117880,17259,1
80802,1325,117961,117962,118910,117905,240983,290919,117908,32725,1
33054,131441,117961,118343,118292,118422,300136,118424,118425,28682,1
16018,21033,117961,118300,123749,118636,161129,118638,118639,14403,1
77295,33265,117961,118327,118529,118368,141452,117887,118486,18717,1
15022,18213,117961,118386,125016,118451,126309,118453,118454,25435,1
23842,3224,117961,118225,120551,126184,147097,118762,126186,1656,1
25241,59353,117961,118327,120299,121122,132373,118612,121124,10191,1
79121,4189,117961,118343,119987,118636,310589,118638,118639,10560,1
39883,15889,117961,118052,120417,119587,127457,118704,119589,9003,0
42093,17227,117961,118343,118979,120006,255097,118424,120008,11697,1
1020,87910,91261,118026,119507,119962,168365,118205,119964,31870,1
33642,17841,118216,118587,117941,118568,135898,19721,118570,21319,1
34861,21280,117961,118386,120361,120690,127922,290919,120692,20989,1
79774,4511,117961,118300,119181,118784,117906,290919,118786,12657,1
44900,51740,118752,119070,119121,280788,130913,292795,119082,30129,1
16767,4945,117961,118300,118360,120812,278797,118638,120814,7936,0
23096,19760,117961,117962,118352,118321,117906,290919,118322,1713,1
27785,15824,117961,118225,120323,119093,120324,119095,119096,9681,1
31990,1328,118212,118213,118403,117905,134159,290919,117908,16305,1
14914,4584,117961,118300,120297,118321,117906,290919,118322,708,1
20897,160736,119301,119302,119303,118641,306399,118643,118644,20703,1
34958,7133,117961,118327,118320,118784,118785,290919,118786,22222,1
43952,23989,117961,118446,118701,118054,120716,117887,118055,19387,1
216,218,117961,118413,120370,118784,118785,290919,118786,1256,1
79121,4950,117961,118343,118911,118912,309291,118424,118914,31103,1
75954,49772,91261,118026,118746,118747,126309,118453,118749,32007,1
84797,17214,117961,118225,120535,123067,169986,118398,123068,4708,1
16798,2270,117961,118413,120584,118777,279443,308574,118779,14906,1
20331,46149,117961,118327,4674,118784,174486,290919,118786,10001,1
35828,20380,117961,118225,118403,307024,306404,118331,118332,30872,1
34751,3053,117961,118225,120663,118641,306399,118643,118644,15736,1
80881,4993,117961,118343,118979,118912,309291,118424,118914,30778,1
44977,4110,119596,119597,118292,138137,177534,118424,138139,11325,1
80193,6699,117961,118343,119993,117905,117906,290919,117908,32336,1
78176,671,117961,117962,118352,118321,240983,290919,118322,23402,1
34950,55789,121785,121786,120299,121122,217580,118612,121124,20930,1
43506,1334,117961,117962,118910,118054,118368,117887,118055,17693,1
80645,79111,117961,118343,119945,119928,231633,118331,119929,14978,1
77440,27394,117961,118343,119142,118685,152298,308574,118687,20011,0
3853,3966,117961,118343,122012,118685,120316,308574,118687,5365,1
34260,2890,120864,120865,118437,120313,230838,118424,120315,28667,1
28294,1325,117961,117962,118910,118321,117906,290919,118322,18187,1
78722,53214,118095,118096,118008,118568,125652,19721,118570,13457,1
4675,19286,117961,118225,120050,124810,165649,249618,124812,28415,1
1151,125466,117902,117903,120171,122989,154602,119006,122991,8867,1
40919,75115,119170,119171,118464,118465,119173,118467,118468,3836,1
25643,3753,117961,118300,118360,118636,310589,118638,118639,6198,1
30890,2327,117961,118300,119195,128230,302830,4673,128231,25714,1
75834,3225,117961,118327,118929,118784,126514,290919,118786,23069,1
33054,53081,117961,118343,119598,119433,133686,118424,119435,683,1
38721,50634,118163,118164,117878,117879,117879,19721,117880,18907,1
23096,4528,117961,118225,120054,119928,310608,118331,119929,22879,1
37807,58692,117926,118124,117941,117879,117886,19721,117880,15783,1
39262,22629,91261,118026,118317,118784,120474,290919,118786,19355,1
35792,311696,117902,117903,118507,118863,168896,118398,118865,19133,1
58643,46476,117902,117903,117904,117905,117906,290919,117908,17902,1
75320,58916,117961,118327,118391,118321,117906,290919,118322,15558,0
34591,8707,117961,118300,19772,132096,168524,119095,132098,23547,1
18418,4110,119596,119597,118292,118422,191064,118424,118425,10935,1
34542,23871,118752,119070,117945,119899,127369,19793,119900,26886,0
23990,13818,117961,118327,120171,118396,152795,118398,118399,2782,1
43416,85343,117961,118327,118933,118784,121873,290919,118786,28042,1
27314,2270,117961,118413,277693,120773,118959,118960,120774,31538,1
44812,770,117961,118300,120722,118451,142600,118453,118454,12624,1
73536,86,117961,118446,122550,118321,117906,290919,118322,16207,1
20364,311696,117902,117903,118507,120990,120991,118398,120992,20123,1
75328,3313,130570,119256,118042,118043,118043,270488,118046,18932,1
58642,3905,117961,118343,119945,117905,117906,290919,117908,14938,1
2642,2649,117961,118413,120526,118321,118448,290919,118322,27653,1
43305,84891,120342,120343,118631,117905,125684,290919,117908,32635,1
39883,7411,117961,118386,118746,118451,130134,118453,118454,19969,1
28943,2034,117961,118052,118328,299559,259703,118205,163732,7363,1
80151,4055,117961,118343,120722,118361,118362,118363,118364,18086,1
42085,537,117926,118124,117884,117885,117913,117887,117888,7698,1
31605,74967,117961,117962,117904,119949,311441,290919,119951,19504,1
32270,4219,117961,118300,120312,120313,157234,118424,120315,5474,1
23194,15390,117961,118300,118301,120344,311360,118424,120346,6557,0
34735,5409,117961,118343,119993,117905,240983,290919,117908,8099,1
25057,27147,117961,118343,122299,119949,121350,290919,119951,3617,1
20115,6071,117961,118413,122007,118321,118448,290919,118322,5099,1
79624,15894,117961,118052,120304,120313,206347,118424,120315,16502,1
30932,1222,117961,118327,120171,120647,256168,118398,120649,21558,1
23096,3287,118752,119070,118042,118043,118043,270488,118046,15214,1
38392,31857,117929,117930,117912,117879,117886,19721,117880,1383,1
5695,810,117961,118300,123719,118321,240983,290919,118322,12135,1
38112,55842,117893,117894,117895,117896,117897,117887,117898,3297,1
34579,770,117961,118300,120722,118451,142600,118453,118454,26377,1
1020,144199,118658,125100,118856,118321,125684,290919,118322,27801,1
41119,18213,117961,118386,118692,118451,200947,118453,118454,29146,1
74883,4871,117961,118300,125872,120006,159698,118424,120008,14775,1
35376,112659,118315,118463,123656,118321,117906,290919,118322,9902,1
79948,4821,117961,118343,119598,118980,304760,118295,118982,20712,1
81006,2409,117961,117962,117904,119949,230830,290919,119951,16903,1
39866,2072,118138,118139,131868,119192,308590,119184,119194,26316,0
391,607,117926,118124,117884,117879,117886,19721,117880,9831,1
23921,7520,117961,118343,124725,118784,117906,290919,118786,25743,1
39264,70480,119280,119281,117945,118995,119235,292795,118997,14658,1
5467,19839,117961,118300,120722,118784,117906,290919,118786,9674,1
7543,6199,117961,118225,120663,118321,117906,290919,118322,17547,1
41297,4638,117961,118343,119987,119172,256190,118467,119174,20014,1
27124,7610,117961,118327,120383,117905,117906,290919,117908,29212,1
14914,6191,117961,118300,120297,118784,120474,290919,118786,7663,1
917,16573,117961,117962,122059,153893,153894,130364,153895,16782,1
4605,19760,117961,117962,118352,118321,117906,290919,118322,2751,0
45790,5568,121785,121786,118492,118747,130707,118453,118749,18275,1
45856,7807,117961,118327,118518,118043,118756,270488,118046,6250,1
79121,124625,118725,118726,119076,118422,159053,118424,118425,8316,1
34958,34612,117961,118327,118320,117905,240983,290919,117908,1606,1
42085,5242,117961,118343,120671,121469,125853,118424,121471,7923,1
972,4858,118290,118291,120144,118293,118294,118295,118296,14412,1
18418,3648,117961,118300,118631,126869,283548,118295,126870,12357,1
75834,8234,117961,118300,118783,117905,117906,290919,117908,20108,1
25513,13765,117918,117919,117920,145648,123191,119784,163313,6287,1
31825,15781,117961,118300,118395,118890,305057,118398,118892,30478,1
34817,34611,117961,118327,118320,118784,121873,290919,118786,5903,1
17308,60790,117961,118052,118867,118523,311622,118331,118525,10202,1
33642,50193,118079,118080,117878,117879,184148,19721,117880,19074,1
17849,32117,117887,118178,117945,118811,309981,19793,118813,16444,1
77213,6217,117961,118327,118328,119172,121927,118467,119174,23633,1
31929,44634,117916,117917,118810,119323,128571,19793,119325,10397,1
41758,41760,118315,118316,123656,118259,117906,290919,118261,17163,1
34432,20382,117961,118300,124942,118784,117906,290919,118786,19294,1
4675,1140,118212,118213,118352,118321,117906,290919,118322,23244,1
5353,2305,117961,117962,119223,128230,302830,4673,128231,826,0
972,4375,117961,118343,120347,307024,132719,118331,118332,25576,1
81450,5294,119596,119597,118979,118293,118294,118295,118296,3991,1
16988,5083,117961,118300,121108,120344,267189,118424,120346,24567,1
38719,56010,117926,118124,117884,117885,117913,117887,117888,28159,1
81482,19986,117961,118225,118403,120773,136187,118960,120774,21418,1
15672,111936,117961,118300,118783,117905,117906,290919,117908,28895,1
20312,18044,117961,118386,118522,118321,117906,290919,118322,170,0
20097,1755,117961,117962,119223,125793,146749,118643,125795,28915,1
28787,5294,119596,119597,118979,118293,118294,118295,118296,28697,1
32270,50751,117961,118225,120535,123670,305057,121916,123672,26757,1
79092,17713,117961,118225,122273,118321,117906,290919,118322,2090,1
100511,8121,91261,118026,118746,117905,117906,290919,117908,26257,1
80786,4272,117961,118343,120666,120516,120517,120518,120519,26769,1
87089,4820,117961,118343,123454,119928,310608,118331,119929,21046,1
17308,49425,117961,118343,119598,118422,300136,118424,118425,16328,1
110281,4821,117961,118343,119598,307024,294485,118331,118332,27343,1
36339,23345,117961,118327,120318,122060,130360,290919,122062,28751,1
33618,18211,117961,118386,119214,118321,117906,290919,118322,10877,0
25215,858,117961,118327,118529,118777,279443,308574,118779,11081,0
33150,56663,117902,117903,118507,120990,261540,118398,120992,16217,1
28294,46704,91261,118026,118202,117905,117906,290919,117908,8144,0
917,117887,117961,117969,123766,162860,162861,155173,162862,3147,1
78272,7320,5110,117954,122672,128197,273102,119772,128199,32625,1
75078,95845,118315,118463,122636,118451,123728,118453,118454,8376,1
3853,8074,117961,118300,119181,118321,117906,290919,118322,30881,1
79992,7551,117961,118052,118867,118321,117906,290919,118322,11402,1
6104,51372,117961,118343,120666,118777,279443,308574,118779,23783,1
42085,52856,117961,118052,121949,118207,174445,270488,118209,5998,1
81058,23280,117961,117969,6725,126264,251186,6725,126266,7477,1
36135,5396,117961,118343,119993,118321,240983,290919,118322,3,1
