device_id,phone_brand,device_model
6203265913933675222,小米,红米1S
-3135972485475791427,酷派,5891
8750943020428801057,酷派,大神F1
-3375494958820388122,三星,Galaxy J5
-3665158397517933641,华为,P8 Lite
4639825251936594517,三星,Galaxy Grand Prime
-5029093692011976229,优米,UIMI3
-820308339006326431,华为,Ascend P8
-3844727541546448596,OPPO,N1 Mini
5463675985357974179,惠普,Compaq 7
-7059047520849163352,华为,G628
5597650430359778474,小米,小米note
-3496331643488195603,欧博信,IVO 6622
1041524894491773161,小米,红米2
4227091240805759644,华为,B199
-6485763788883183890,三星,Galaxy Trend 3
-6913773784771078780,华为,荣耀7
4491850891434520727,华为,荣耀畅玩4X
-8358486409337514301,vivo,X1ST
-6357324092893042699,三星,S7568I
4035078303533819006,华为,C8818
7367934189164533341,vivo,Y622
2221646194686349829,华为,Mate 7
3536582625138338211,魅族,魅蓝2
-1353779184986416234,华为,Mate 7 青春版
6373871410849747545,华为,Mate 7
-3734487735993077847,OPPO,1107
-1362602904777527960,小米,MI 4
2107223618969302050,华为,荣耀7
6957816558741637492,三星,Galaxy S2
5895568335541144552,小米,红米2
7252062330170425343,奇酷,青春版
-7687333523744027111,三星,Galaxy Note 3
5690863410118930629,华为,P8 Lite
-8801127454334482899,华为,荣耀6
-7870159506816141682,三星,乐檬K3 Note
-2209908897759253133,魅族,MX3
-2326332034831725775,小米,MI 2
-1850287767207382611,小米,MI 3
-2182212731494303636,三星,Galaxy S3
-1438980405808677799,OPPO,R7
3865921038118525765,三星,Galaxy Win
-1218058066526535237,三星,Galaxy S4 Zoom
5843628064548947201,三星,Galaxy S5
5552472811055828179,三星,Galaxy Ace Dear
-5253130124542217342,小米,MI 2
5330770856550954906,小米,红米note
-662311857737993803,vivo,Y27
-8222074447671112306,三星,Galaxy S4
-3262653050352962253,小米,红米1S
4530094653265194852,尼比鲁,火星一号
-903253296973722553,三星,Galaxy Note 3
-6146110267414616899,酷派,大神F1
-547299159843479631,魅族,MX3
-7972821561196524183,小米,MI 4
8047328286333786744,华为,荣耀畅玩4X
-2032316601126448406,小米,GN706L
-6416813644380097357,三星,乐檬K3
-8046062912970608187,华为,Ascend P1
-2088125469436349694,OPPO,R831T
6229806970618411889,魅族,M9
3874208694416262926,三星,Galaxy S6 Edge
-6222816368538321420,魅族,MX3
-9172144120341857683,华为,U9508
6827550793455009956,三星,乐檬K3 Note
-2484673922270027744,小米,红米Note2
5453171693869676427,vivo,X5M
-8490893175242071921,vivo,X5Max
-2328704728545202083,华为,荣耀畅玩4C
-2667442540217860814,美图,2
3485302089310188126,魅族,魅蓝Note 2
3002864372540600191,小米,红米Note2
-1460290366306897189,中国移动,A1
1014365374377886461,乡米,X8888
-6812597424746632624,小米,MI 3
1179895184101054072,魅族,魅蓝2
-6928327044156742334,三星,Galaxy S4
6475746767262464782,三星,Galaxy Trend DUOS 2
1597960539703750985,魅族,MX3
-8789124281531477756,三星,联想黄金斗士S8
-4203319929854647786,三星,S60t
-1643602226892030356,酷派,大神F2
7532912724729515595,魅族,MX3
-8351624812977157365,魅族,魅蓝NOTE
3710047436838760923,小米,小米note
-5863900647969195092,HTC,One
7287503213218561570,vivo,Xplay3S
5073758563623540223,OPPO,R1S
7812995524324637936,小米,MI 4
-3085928842624768532,vivo,X5M
9101119145988909139,小米,红米note
-572522234563116907,华为,荣耀畅玩4X
-6636635849036130074,魅族,魅蓝2
-6101572398289111027,vivo,X5Pro
-3867246836503700068,酷派,Y60-C1
-4445464189276353987,三星,Galaxy S4
-2101263862936668123,LG,Nexus 5
-5689014255106644266,小米,红米note
452470226595961413,三星,Galaxy Win
3374447981047317501,三星,Galaxy Mega 5.8
7471315022444064878,优米,UIMI4
201908145015996865,小米,红米Note2
9113963253448952890,OPPO,R809T
4923754768226234571,vivo,X3L
-64983638317365633,联想 ,Q507T
2656491637531045394,华为,荣耀6 Plus
6113503721356634279,摩托罗拉,Moto X Style
-1571938099619621699,小米,红米1S
1581938542533933271,三星,A788t
672465596380697970,酷派,大神F2
7054000321869620830,OPPO,R7
1378947719883661260,小米,MI 4
-724166789496487213,魅族,魅蓝
-1731940290151392648,vivo,X5V
2428072939638272059,vivo,Y13iL
-2562891345651651669,三星,Galaxy S6 Edge
-123091620660008967,vivo,X5Pro
-9177242489883139028,华为,荣耀6 plus
540163513040717065,华为,G610S
3119210440443412011,三星,Galaxy Note 2
1676232191829570234,OPPO,N1T
3023580358903591170,vivo,Y27
-8236788558398294918,华为,X1 7.0
-8880996631495052823,小米,红米2A
7484949649911820581,vivo,Y613F
5509797330009415273,三星,Galaxy A7
-5940437598218410209,中国移动,N1
1973493713702098065,小米,MI 2S
2562481487879502195,OPPO,R7
-5379771342889966487,小米,红米Note2
8789935764770246520,三星,Galaxy S4
-3194605666047016654,小米,红米2A
6684656605720064167,小米,红米note
-2344091284277293323,华为,荣耀4A
-3523095557661783831,三星,Galaxy S4
4533620519636349106,vivo,Y23L
2325279733887900997,酷派,大神F2全高清版
5755801361587551626,小米,MI 2S
5683388852503964779,华为,荣耀畅玩4C
-3860763766992208465,魅族,MX5
2198360599608410724,华为,Ascend P8
6498151016790859615,魅族,魅蓝2
915444367986170120,ZUK,Z1
1238700974573603593,华为,Ascend P8
-858386084058370821,vivo,Y13iL
-2650011867593184828,HTC,灵感XL
-2174283074309163482,小米,红米note
1151738900049772797,OPPO,Find 5
-3750165081722885080,奇酷,旗舰版
-4430795538203534500,小米,红米Note2
1446873408352129988,OPPO,Find 5
-4582547448510593251,vivo,Y927
4549496211550394484,魅族,魅蓝2
911904779795551698,三星,Galaxy Grand Neo Plus
3598548865268256727,小米,红米Note3
-8085589666736261400,努比亚,Z9 mini
1803457904898116567,vivo,X3S
-734485850674115409,vivo,Y15
6764693466536145362,OPPO,R7
6272734946700986903,OPPO,R831S
-4523731822854136693,华为,Ascend P7
-8723439088795974233,华为,荣耀6
1025882112858178387,小米,MI 3
-616718052096376630,小米,MI 4
-7038575260818677461,OPPO,N1 Mini
3300361375762338521,OPPO,R7s
7714151389348840955,华为,荣耀畅玩4X
476093905660062295,酷派,大神F1Plus
-6014164743660909283,小米,MI 2S
-7077316740294597452,华为,荣耀畅玩4
8979362461617093339,小米,红米Note2
3511365316455817258,OPPO,R815T
6745198645236173777,魅族,MX5
-8394226350013076373,OPPO,R819T
-3686025432670501150,三星,Galaxy Note 3
-273670262674386633,三星,Galaxy Core Prime
-5006810952361421309,HTC,Butterfly
7371221915044358081,酷派,大神F1Plus
-234596011786726086,中国移动,A1
4553597285921238280,小米,小米4C
2379121766744628115,魅族,魅蓝NOTE
8465879828692773227,三星,Galaxy Style DUOS
-7857939359841994827,OPPO,A31
3556722749881652520,vivo,Xperia S
-2137227742415007231,三星,Galaxy Note 3 Lite
-6886494989754489195,OPPO,R1S
-8317776529630798230,梦米,P6
758945775719823296,小米,S7
8692682454737086491,小米,MI 2
7573480668371805913,三星,Galaxy S6
-6627913455393671842,小米,红米note增强版
-1462078113511750131,华为,G628
5673628446478659332,小米,MI 2S
2375523501863307275,三星,Galaxy Grand Neo Plus
-4964582742040081394,锤子,坚果手机
-6935205211257040349,小米,MI 3
-2919817498217216321,富可视,M210
-2533192902565666740,魅族,魅蓝Note 2
-2280251559739859587,小米,红米note
496154761689206870,华为,Ascend P8
-2977754504281043871,魅族,MX2
-3713711606429296043,小米,红米1S
-8337049912898237432,OPPO,R7
-4276133118757867337,vivo,S7I
-7463689019945416743,OPPO,A51
4659291518938488370,魅族,魅蓝Note 2
7517787789940127721,华为,荣耀畅玩4C
6030445536605196241,魅族,MX3
2548473019414080561,努比亚,Z7 Mini
-1969239982129475799,OPPO,X907
1743211856360122597,小米,红米
-1617557466398596339,小米,MI 4
-210351317030552666,魅族,魅蓝
-8599494881173996883,三星,Galaxy J5
1479391217077400134,vivo,Y33
954703868217350398,vivo,Y27
620331438819843066,三星,Galaxy Win
-4941342448592021616,华为,荣耀畅玩4X
443375728272332111,乐视,超级手机1 Pro
-1856873666048506233,小米,红米note增强版
-5788800395524474157,小米,MI 2S
7845144586475566294,三星,Galaxy S4
-7793193189838109187,三星,Galaxy Grand DUOS
489008394850803353,华为,荣耀畅玩4X
-3452901561966246869,小米,红米note增强版
4469889593958854204,vivo,Xperia Z5
-2875990704214225089,华为,G620-L75
98503289715646852,华为,畅享5
-2492869764454238790,vivo,Xplay
-8978883150945034940,三星,Galaxy Win
-6723177021887374654,华为,荣耀畅玩4X
-6276278269422901898,魅族,MX4 Pro
-9183949596387782012,华为,荣耀6
1925553923187379157,三星,Galaxy S5
8754900870302651611,vivo,X5Pro
1811836844512667345,三星,乐檬K3
-6893375933269031936,华为,荣耀7
5932025400118437646,华为,Mate 7
-4360838764255430028,OPPO,R7
-4487490092892040378,华为,Ascend P8
-3989339919344526616,华为,荣耀畅玩4X
4595164039261780959,小米,MI 2
4749790496409284642,三星,Galaxy S6 Edge+
7715942457335606446,小米,MI 4
-223472652014855496,vivo,X5Max+
3866545657666545473,小米,MI 3
7943620256549958708,华为,荣耀畅玩4C
-3740406247708405400,小米,红米Note2
1373695950947877742,OPPO,R7s
6681813546912411603,酷派,8185
-2263092006789760041,华为,荣耀3C
-6094345935598210762,华为,荣耀7i
-1187612535313159627,三星,G3588V
-7736063171032369945,vivo,Y937
5182634224636798566,三星,Galaxy S4
5203099801514264978,华为,荣耀6 Plus
-6613393426458859118,小米,小米4C
-2956334783638347534,HTC,T528t
5067845878726884735,三星,Galaxy A8
-8391029357442320355,三星,Galaxy S6
2309252619242148676,OPPO,N3
-6725090764519584329,vivo,X5Max+
-3185045500141345544,小米,MI 2S
-6149473145121874406,小米,MI 4
8882826085141123756,酷派,8720L
593861446495196776,三星,Galaxy Note 3
687077695945399616,华为,荣耀7
3706441776468770290,小米,红米2A
2284360110056895413,华为,荣耀7
1303773491104159127,华为,G610T
3198118119842446971,魅族,MX3
4453421676718915584,vivo,S7T
-7057577039556083223,华为,畅享5
-8429528610229688219,华为,荣耀畅玩4X
-8894199296242837098,vivo,X3T
-8659887135916970303,小米,MI 3
-2117314255038975513,尼比鲁,火星一号
-7273014645463642131,小米,MI 2S
3140940776106551144,中国移动,A1
-8301731093485295195,联想 ,V5 Max
-7991948987700799574,小米,MI 3
4619710663186155671,魅族,MX5
4915303929452020814,OPPO,A51
9130693239198348494,魅族,魅蓝Note 2
7948073777015809850,小米,红米2
-5932278665259014624,小米,MI One Plus
5298673078875224260,vivo,Xperia Z1
-1041597465276221517,小米,红米
-9179392810848439302,OPPO,R7
6031170282142438963,三星,Galaxy Grand DUOS
7602515035958175834,三星,S90-t
-4794735870849923338,华为,荣耀6
4451828602330206974,三星,Galaxy S4
-1109285471337044632,vivo,Xperia Z3 mini
-3884290749318679136,酷派,8105
7774826130244411689,vivo,Y27
7934553064412250139,小米,小米4C
-4175903333241763438,小米,红米2
3305160818219763988,vivo,X5M
9040305266366893578,小米,MI 2
-1636277832980181268,中国移动,A1
8364456753514280491,魅族,魅蓝2
921231529777877325,魅族,魅蓝Note 2
1574643303259752313,vivo,X5L
4858897522851138472,酷派,7270-W00
-7278302391919474844,OPPO,R7 Plus
-7101477552390394162,小米,MI 4
7340472137146957601,小米,红米
-7003269477952270990,小米,S7
-4750266975496196018,HTC,M8St
2214620190602891890,华为,P8 Lite
7975363579210877326,OPPO,Find 7
-3140228792280273095,OPPO,R7 Plus
-749945579537685709,小米,红米2
3005054185285510307,酷派,F2
6215557000961674564,小米,红米2A
-8833821477328898539,OPPO,R7 Plus
-7536856226501811981,华为,荣耀畅玩4X
-7524257999851516314,华为,荣耀畅玩4C
3132420421091035088,华为,荣耀畅玩5X
-3542345942984113251,三星,Galaxy A8
3276489383557182957,奇酷,青春版
1361157773765159340,小米,MI 2
635865081828496069,HTC,Desire 820
-7296330339319982248,三星,A750
6882746531123928618,小米,小米note
-3802082410985769896,华为,Ascend P8
-1652272189039955694,小米,F301
-7334051818152907205,小米,MI 4
-6065147391819402574,三星,Galaxy Trend DUOS 2
8884625593579215667,华为,荣耀6
2552804091140372532,小米,红米note
8468929674698797459,三星,S898t
-7596564478669917183,三星,Galaxy Note 3
6488948760058698825,OPPO,R7
4089947549758617354,小米,MI 4
7452297132503109510,华为,荣耀6
-3866966610256094628,魅族,魅蓝metal
-423858005707557632,小米,MI 2S
716239890991290993,LG,P970
3584536376614605672,小米,MI 4
4491354501747992182,三星,Galaxy Note 2
7497355282213416111,小米,小米4C
-7910041592229699907,魅族,MX4
1113772935844467689,三星,Galaxy Win
4333597877239573391,OPPO,R7
-2972469503211909244,小米,MI 4
7528253813620869757,小米,红米2A
-2826883247692391704,三星,Galaxy Mega 6.3
2554606243494617121,小米,MI 3
-1029776527662783615,华为,荣耀畅玩4C
8226436103141355091,vivo,X3T
6610920400369632803,OPPO,R7 Plus
249558421987950446,小米,MI 3
-1644727107080426506,三星,Galaxy A7
7233283139845083704,OPPO,R1S
5632935003531610027,三星,Galaxy S4
-444068606036816132,酷派,5890
-8159704210213029650,三星,Galaxy Grand Prime
-3958580476041277999,奇酷,旗舰版
-451455165356876967,三星,Galaxy Note 2
-1740111271518408476,OPPO,R823T
-2709780278262868838,华为,荣耀6
-4911187971884485815,努比亚,Z9 Max
-4573265070178043046,魅族,PRO5
-7787265069062507738,小米,红米note
-2854701438613515740,小米,note顶配版
5767380056484635000,魅族,MX4
-4596537046828326467,华为,荣耀畅玩4X
-4569413420366164569,魅族,MX3
9169826718819903312,华为,荣耀畅玩4X
6690948776971378783,小米,红米Note2
1731593778549194288,vivo,X5SL
8702655410163195741,华为,荣耀畅玩4
-7801245781673113308,OPPO,R7
4823533963602784225,小米,MI 3
-2059562544538846494,三星,Galaxy Note 4
-6724180042758044605,vivo,Y29L
-8918878907522136309,小米,红米note
5764142973706635678,小米,红米Note2
-6226497902770423511,魅族,PRO5
-1008172259872900192,小米,红米note
1401813711102812260,小米,MI 3
-9193385808489893612,小米,红米Note2
-6482684617120101618,华为,G610S
4371859378735186730,海信,E602T
-4455113778129742157,小米,MI 3
-7585152716680891307,华为,荣耀畅玩4X
8285593309927340344,三星,Galaxy S5
-9193464968161690954,三星,Galaxy Note 2
-1171992495061476594,小米,GN150
-6165247554869936477,三星,Galaxy Note 2
-7381424305938716311,华为,G628
7116594078955604855,酷派,8190Q
-7574558643950734975,三星,Galaxy Grand 2
6549078800816214296,华为,荣耀7i
446508023708633846,魅族,MX4
7059695387682942222,小米,红米note
8027061469440628491,魅族,MX4
7082561760051647185,海信,E620M
-8007192543815904865,乐视,超级手机1
104024209111440690,酷派,8702D
-3033694627973325721,魅族,魅蓝NOTE
1241520752858517585,OPPO,R831S
171161177541244158,三星,Galaxy Grand
3061510293310925641,小米,MI 2S
1867683933730058832,华为,麦芒4
-2467424271232582725,vivo,Y27
184549844784077739,小米,MI 2S
1344567447706469125,三星,Galaxy S4
5913870150565721104,小米,小米4C
-4510948746686686320,三星,Galaxy Note 3
3856426485294135139,华为,荣耀3C
2934265528257286013,小米,红米note
2999450573578363280,vivo,X3L
1749986978131277304,中国移动,N1
-7755551111002651450,乐视,超级手机1 Pro
5812246907035263969,三星,Galaxy Note
-2496705891799683947,联想 ,U960E
-2828406027422108348,小米,红米note
3468652792621111996,三星,Galaxy A7
-6311742925461483139,LG,Nexus 5
6849455745550601656,三星,Galaxy Grand 2
-6835921906322850841,联想 ,Grand X
2518800760241946529,vivo,Xperia arc S
-6937489105927924169,魅族,MX4
-7383729859322465816,百立丰,T708
-8363543717895063746,小米,MI 4
8269714575804857458,OPPO,N1 Mini
4606714468796333826,一加,X
-2019505863726101732,华为,G610T
-3128885026273701635,vivo,Y29L
6571589275976777137,三星,Galaxy S6 Edge+
7834542029709111186,小米,MI 2S
-5925478927342992867,三星,Galaxy S6
-7575057278369229905,三星,Galaxy S3
-4661602098732065133,酷派,F2
9123676204396397557,三星,Galaxy Mega 5.8
-503017450638907,三星,Galaxy A7
5726865096630356761,语信,T50
-6291489875229048828,魅族,魅蓝2
4499349691855367422,小米,MI 4
45817958939645203,OPPO,R6007
-3940548360908759703,联想 ,V5 Max
-7467925731126581316,小米,MI 4
1115991149944834419,华为,荣耀畅玩5
-8977193068697317912,HTC,One M8
-2789772317064365442,小米,GN128
5449866837188516158,vivo,X3T
-3084226054116081811,三星,Galaxy Note 3 Lite
-2986361806193027290,魅族,MX3
-8637244575327374671,OPPO,A11
1543400054583723285,OPPO,N1 Mini
-4533349015665811119,三星,Galaxy S6 Edge
2168906191194661482,OPPO,A31
-2862703197183075502,小米,小米4C
-7585589163043491919,三星,Galaxy Note 3
6854481834212834657,三星,Galaxy Note 3
-7075715591447938224,魅族,MX5
6849722846171575699,小米,红米Note2
6823852033423393190,魅族,魅蓝metal
-927265069841216419,酷派,F2
-4319359762654544401,乐视,超级手机1s
4436631656550760283,小米,小米note
-6708810825991488260,华为,Mate 7
8827773441832288145,三星,Galaxy S4
1443827736906030537,三星,Galaxy Note 3
4696324840870142670,小米,小米note
-1884405437352382693,小米,note顶配版
507324986593831963,华为,荣耀6
-2090712739578545768,小米,红米2
-4184136408325294366,三星,Galaxy Note 2
-4066331072272929929,海尔,L700T
6555828806634868448,三星,Galaxy Note 2
870129961119339754,小米,小米note
-2681574002656330969,小米,红米2A
6287484350967231599,三星,Galaxy A5
-5881068712521819568,华为,荣耀6
-6613678738640312317,三星,Galaxy A7
1973271966574718365,华为,荣耀6 Plus
6521697031229025719,小米,F103S
-8065377313175603905,酷派,5951
5841629879834737452,酷比,H1
-8657953338844469128,三星,A820
3049025869711388385,魅族,魅蓝Note 2
-5604495285163491991,OPPO,R7s
-6455663014193846485,小米,红米Note2
2663269343476696062,华为,Ascend P8
-14105415011831709,三星,G7200
7204876252521658312,华为,荣耀6
-2026216417578608139,OPPO,Find 7
5374353753405302214,OPPO,R831T
-1496354896607560502,三星,Galaxy Mega 2
-8114512684649636353,华为,荣耀U8860
8259287871071015114,纽曼,纽扣
-9220329415676028483,华为,荣耀7i
6261900729835972204,三星,Galaxy S4
-6032383785882294470,魅族,MX4 Pro
-525881051018442268,小米,MI 2
-3050561678951841061,波导,LT01
-3769304558211721968,乐视,超级手机1
-1016061600547378965,vivo,Y11
7972713665384905246,三星,Galaxy Win
-3522956814586117664,小米,红米1S
1656935961968903652,三星,Galaxy S6
-366723647761662479,奇酷,青春版
-7039966667079614378,OPPO,Find 5
1647203199061659015,美图,2
4546404614610892277,华为,G610S
-2476776422999032109,vivo,Y17T
-6018955683292149022,小米,MI 3
6371545876981846148,乐视,超级手机1s
7917108487416320268,三星,Galaxy S5
8435078261389441578,华为,荣耀畅玩4C
-4782559085717764295,三星,Galaxy S2
5806195678163617252,魅族,魅蓝2
8046659641337132360,华为,Mate 7
-7599413770008200483,华为,Y635
7512699476912073095,华为,荣耀畅玩平板T1
3536504798521881339,一加,One
7860980889132331695,vivo,X5V
-1733117552016656215,vivo,Xperia Neo
-7700694289953571769,小米,MI 4
6008741943209972580,三星,Galaxy Trend DUOS 2
2203394907874796686,小米,MI 4
5368902354233758163,华为,荣耀X2
5495249163992476507,华为,G7 Plus
-518792476757074260,华为,荣耀畅玩4C
-2318478566232647801,vivo,Y13L
4833445451549637058,三星,Galaxy Core Prime
9220814716773471568,华为,荣耀畅玩4C
-932921546133449589,vivo,Y33
6213246702599011191,奇酷,旗舰版
6221615192187743553,华为,荣耀6 Plus
-2017138441577836771,华为,Ascend P8
-4833379251181200577,魅族,MX5
-2781544328456780865,vivo,Y27
-8275554294983267625,小米,MI 2S
-4098252593943387569,魅族,魅蓝2
1348316986288517029,海尔,HT-I860
-1168969471875715272,OPPO,R3
-2862822241356910925,乐视,超级手机1
