REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average_Credit_Card_Transaction,Balance_Transfer,Term_Deposit,Life_Insurance,Medical_Insurance,Average_A/C_Balance,Personal_Loan,Investment_in_Mutual_Fund,Investment_Tax_Saving_Bond,Home_Loan,Online_Purchase_Amount,gender,region,Investment_in_Commudity,Investment_in_Equity,Investment_in_Derivative,Portfolio_Balance,Revenue_Grid
9152,1,51-55,Partner,Manual Worker,Manual Worker,Own Home,"<10,000, >= 8,000",No,No,1973,Granada,LL18 5NY,LL18,168.94,0.0,98.99,0.0,39.47,16.93,0.0,0.0,0.0,0.0,0.0,Male,Wales,61.48,2.82,9.4,54.78,2
7001,Zero,71+,Partner,Unknown,Unknown,Own Home,"<17,500, >=15,000",No,No,1983,Meridian,M39 4PU,M39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.95,0.0,0.0,0.0,Female,North West,0.0,8.49,8.49,-21.9,2
9580,Zero,55-60,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,Yes,1967,TV South West,TQ2 8BQ,TQ2,0.0,0.0,39.49,0.0,14.99,0.0,0.0,0.0,0.0,0.0,0.0,Female,South West,10.9,0.0,2.5,-26.52,2
3799,1,22-25,Partner,Professional,Unknown,Own Home,">=35,000",No,Yes,1997,Carlton,GU24 8BX,GU24,0.0,0.0,0.0,0.0,0.0,4.99,0.0,11.99,0.0,0.0,0.0,Male,South East,0.0,2.83,2.83,-59.43,2
3663,Zero,61-65,Partner,Retired,Retired,Own Home,"< 4,000",No,No,1987,Border,CA23 3AS,CA23,0.0,24.49,0.0,0.0,0.0,10.97,0.0,0.0,1.0,0.0,0.0,Female,North,4.9,2.0,2.0,19.68,2
3572,1,22-25,Partner,Housewife,Unknown,Own Home,"<15,000, >=12,500",No,Yes,1997,Carlton,IG2 6AN,IG2,49.48,127.44,47.45,97.42,27.96,50.47,262.2,75.86,0.0,6.99,139.94,Female,South East,69.95,89.24,85.65,164.53,2
8136,Zero,41-45,Partner,Business Manager,Business Manager,Own Home,">=35,000",No,No,1995,Carlton,TW10 6DP,TW10,13.99,0.0,0.0,59.46,9.49,0.0,0.0,0.0,0.0,0.0,0.0,Male,South East,16.59,0.0,11.49,-25.54,2
4930,3,31-35,Partner,Professional,Manual Worker,Own Home,"<25,000, >=22,500",No,Yes,1985,Meridian,L36 9LP,L36,0.0,24.99,0.0,14.99,0.0,0.0,28.48,0.0,0.0,7.99,0.0,Female,North West,8.0,6.08,7.25,9.45,2
3290,Zero,65-70,Widowed,Retired,Unknown,Rent from Council/HA,"<10,000, >= 8,000",No,No,1992,Yorkshire,DN36 4NJ,DN36,21.98,106.98,0.0,149.93,39.48,39.49,0.0,114.41,0.0,24.42,0.0,Female,Unknown,63.67,29.72,57.22,154.26,2
10430,1,45-50,Partner,Other,Manual Worker,Own Home,"<22,500, >=20,000",No,No,1970,Anglia,CO6 3JS,CO6,23.48,0.0,0.0,0.0,40.47,0.0,80.96,0.0,1.0,0.0,0.0,Female,South East,12.79,13.66,20.41,8.07,2
9039,Zero,61-65,Partner,Retired,Retired,Own Home,"<22,500, >=20,000",No,No,1960,Tyne Tees,TS3 0ND,TS3,0.0,0.0,0.0,132.95,47.42,0.0,0.0,27.48,0.0,0.0,0.0,Female,North,36.07,4.58,34.64,36.27,2
8450,Zero,26-30,Single/Never Married,Business Manager,Unknown,Own Home,"<25,000, >=22,500",No,No,1998,Central,DY13 8NX,DY13,10.99,0.0,38.97,104.91,9.48,7.46,221.14,633.89,74.98,2.98,60.44,Female,West Midlands,32.87,166.82,175.31,385.12,2
2876,2,31-35,Partner,Manual Worker,Housewife,Own Home,"<20,000, >=17,500",No,No,1997,Scottish TV,G68 9NF,G68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,Scotland,0.0,0.0,0.0,-33.41,2
1361,Zero,26-30,Partner,Professional,Professional,Own Home,">=35,000",No,No,1994,Meridian,M12 5GF,M12,19.97,84.94,94.96,105.4,71.46,59.48,0.0,27.96,28.96,0.0,0.0,Female,North West,75.35,19.4,48.88,168.86,2
5960,Zero,51-55,Divorced/Separated,Retired,Unknown,Rent Privately,"<17,500, >=15,000",No,No,1994,HTV,SA6 5JF,SA6,23.96,0.0,172.45,14.01,48.94,83.89,5.49,35.97,14.47,10.98,0.0,Female,Wales,51.87,25.13,33.8,129.61,2
11289,Zero,41-45,Divorced/Separated,Business Manager,Unknown,Own Home,Unknown,No,No,1998,Central,WS9 9ET,WS9,21.98,225.34,0.0,231.28,29.99,107.97,0.0,11.99,0.0,5.49,0.0,Male,West Midlands,101.72,20.91,63.54,155.24,2
7456,Zero,61-65,Widowed,Unknown,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1967,Carlton,L15 1NU,L15,0.0,27.49,71.97,78.95,5.99,42.95,2.99,58.94,19.99,9.49,29.97,Female,North West,36.88,27.39,34.97,108.51,2
1626,Zero,55-60,Partner,Professional,Housewife,Own Home,"<27,500, >=25,000",No,No,1992,Meridian,PO7 7QJ,PO7,0.0,0.0,0.0,70.42,0.0,17.99,0.0,0.0,0.0,0.0,0.0,Male,South East,14.08,3.0,14.74,38.57,2
7176,Zero,45-50,Partner,Student,Retired,Own Home,"<17,500, >=15,000",No,No,1993,Yorkshire,YO12 5JP,YO12,0.0,81.47,0.0,9.99,0.0,8.47,0.0,31.48,11.48,0.0,0.0,Female,Unknown,18.29,8.57,10.24,26.93,2
7518,Zero,55-60,Partner,Retired,Retired,Own Home,"< 8,000, >= 4,000",No,No,1997,Meridian,L22 0ND,L22,0.0,0.0,14.49,0.01,0.0,48.94,0.0,73.46,0.0,0.0,0.0,Female,North West,2.9,20.4,20.4,70.66,2
1312,Zero,51-55,Partner,Other,Retired,Own Home,"<17,500, >=15,000",No,No,1988,Carlton,HA5 3BT,HA5,0.0,0.0,45.01,15.48,40.47,0.0,0.0,4.99,0.0,0.0,0.0,Female,South East,20.19,0.83,10.16,91.53,2
6965,1,45-50,Partner,Manual Worker,Housewife,Own Home,"<25,000, >=22,500",No,No,1970,Yorkshire,DN36 4NE,DN36,57.47,0.0,0.0,58.98,34.97,46.97,13.99,8.0,0.0,25.42,7.98,Male,Unknown,30.28,17.06,27.15,46.66,2
4983,1,36-40,Single/Never Married,Other,Unknown,Own Home,"<10,000, >= 8,000",No,No,1997,Meridian,SP7 8RR,SP7,19.99,130.44,77.47,63.97,63.94,88.46,12.99,66.96,33.97,0.0,42.96,Female,South West,71.16,40.89,55.05,114.44,2
9339,3,36-40,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1991,Grampian,KY16 8QU,KY16,0.0,0.0,82.97,21.99,14.49,43.46,0.0,17.99,1.0,0.0,10.0,Female,Scotland,23.89,12.08,16.49,-23.99,2
6896,2,41-45,Single/Never Married,Student,Unknown,Live in Parental Hom,">=35,000",No,No,1993,Anglia,IP11 9TB,IP11,0.0,0.0,0.0,0.0,0.0,19.99,16.99,0.0,0.0,12.98,0.0,Male,East Anglia,0.0,8.33,6.16,0.35,2
4579,Zero,55-60,Widowed,Secretarial/Admin,Unknown,Own Home,"<10,000, >= 8,000",No,No,1965,Central,B70 8HJ,B70,0.0,0.0,0.0,0.0,0.0,43.98,0.0,63.45,0.0,0.0,0.0,Female,West Midlands,0.0,17.91,17.91,68.33,2
1096,1,41-45,Partner,Professional,Housewife,Own Home,"<17,500, >=15,000",No,No,1990,Granada,WA3 2DD,WA3,0.0,0.0,0.0,14.48,0.0,24.99,0.0,23.47,0.0,0.0,0.0,Male,North West,2.9,8.08,10.49,42.29,2
5471,2,31-35,Partner,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1989,Unknown,CH61 8SE,CH61,0.0,153.95,0.0,176.87,14.99,53.44,31.48,112.94,38.96,6.98,15.98,Female,Unknown,69.16,43.3,71.45,133.18,2
6577,Zero,26-30,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1990,Central,WV11 2JG,WV11,0.0,56.37,144.96,119.31,0.0,65.96,0.0,67.88,0.0,2.49,23.97,Female,West Midlands,64.13,26.72,42.19,125.64,2
2991,Zero,65-70,Single/Never Married,Retired,Unknown,Rent from Council/HA,"< 4,000",No,No,1993,Central,DY2 9NA,DY2,19.99,24.99,39.98,25.49,40.95,0.0,0.0,0.0,0.0,0.0,0.0,Female,West Midlands,30.28,0.0,11.07,50.41,2
2458,Zero,71+,Partner,Retired,Retired,Own Home,">=35,000",No,No,1971,Meridian,RG7 2JJ,RG7,19.99,39.48,0.0,67.96,0.0,0.0,87.44,0.0,9.99,0.0,0.0,Female,South East,25.49,16.24,27.57,39.74,2
1691,Zero,71+,Single/Never Married,Retired,Unknown,Own Home,"<27,500, >=25,000",No,No,1937,Granada,CW9 7ES,CW9,58.97,375.86,69.97,222.38,24.49,73.46,0.0,129.38,7.99,0.0,0.0,Female,North West,150.33,35.14,76.28,302.23,2
11170,2,41-45,Partner,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1990,HTV,SA34 0NF,SA34,0.0,0.0,0.0,0.0,0.0,0.0,111.35,49.48,0.0,0.0,34.99,Female,Wales,0.0,32.64,26.81,90.74,2
9714,3,41-45,Partner,Housewife,Secretarial/Admin,Own Home,"<25,000, >=22,500",No,No,1991,Tyne Tees,DH4 6BH,DH4,0.0,39.48,0.0,19.98,0.0,9.49,59.95,41.97,0.0,7.47,0.0,Female,North,11.89,19.81,21.9,12.65,2
7597,1,45-50,Partner,Secretarial/Admin,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1972,Central,WS11 3TA,WS11,0.0,157.88,78.44,223.83,0.0,81.44,26.99,62.92,0.0,35.45,0.0,Female,West Midlands,92.03,34.47,65.86,185.47,2
1623,Zero,45-50,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1987,Central,DE73 1AD,DE73,14.49,0.01,0.0,2.98,29.99,0.0,0.0,0.01,0.0,0.0,10.99,Female,East Midlands,9.49,1.83,5.5,-7.13,2
4580,Zero,65-70,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1949,Central,DY9 7DX,DY9,0.0,89.41,0.0,257.79,0.0,132.88,13.98,19.45,13.98,8.48,69.99,Female,West Midlands,69.44,43.13,73.01,237.8,2
10179,Zero,55-60,Partner,Manual Worker,Professional,Own Home,">=35,000",No,No,1994,Carlton,SS11 7AP,SS11,0.0,0.0,0.0,0.0,94.43,0.0,0.0,0.0,0.0,0.0,0.0,Male,South East,18.89,0.0,15.74,26.98,2
8643,1,26-30,Partner,Secretarial/Admin,Manual Worker,Own Home,"<30,000, >=27,500",No,No,1904,Central,OX13 6TF,OX13,0.0,14.99,0.0,0.0,11.99,0.0,44.96,0.0,1.0,0.0,0.0,Female,South East,5.4,7.66,9.66,33.86,2
1201,Zero,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1989,Carlton,GU15 2JN,GU15,0.0,49.47,0.0,75.45,0.0,54.98,0.0,25.49,0.0,0.0,0.0,Female,South East,24.98,13.41,25.99,44.57,2
11339,Zero,65-70,Partner,Retired,Housewife,Own Home,"<17,500, >=15,000",No,No,1972,Central,SY13 4QS,SY13,166.4,0.0,59.99,0.0,96.94,7.98,0.0,70.44,22.94,0.0,0.0,Male,West Midlands,64.67,16.89,33.05,139.81,1
9178,Zero,71+,Divorced/Separated,Retired,Unknown,Rent Privately,"< 4,000",No,No,1995,HTV,BA13 3TP,BA13,0.0,184.48,0.0,173.38,0.0,75.85,0.0,54.47,0.0,0.0,141.44,Female,South West,71.57,45.29,50.62,172.2,1
7980,3,41-45,Partner,Housewife,Unknown,Own Home,">=35,000",No,Yes,1992,Ulster,BT27 6TT,BT27,0.0,0.0,0.0,90.41,0.0,81.39,0.0,43.46,10.0,21.47,0.0,Female,Northern Ireland,18.08,26.05,37.54,52.92,2
11199,Zero,65-70,Partner,Housewife,Retired,Own Home,"<22,500, >=20,000",No,No,1971,Carlton,L17 3AX,L17,0.0,0.0,24.99,0.0,59.45,0.0,0.0,0.0,0.0,0.0,0.0,Female,North West,16.89,0.0,9.91,50.03,2
7971,Zero,51-55,Partner,Secretarial/Admin,Manual Worker,Own Home,"<15,000, >=12,500",No,Yes,1969,Meridian,SO51 0HG,SO51,0.0,74.97,0.0,30.98,0.0,29.49,6.49,26.98,0.0,0.0,21.48,Female,South East,21.19,14.07,15.66,40.62,2
4404,Zero,65-70,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1986,Yorkshire,BD20 5EU,BD20,14.99,17.48,106.95,94.42,38.46,183.42,0.0,39.46,34.48,0.0,19.49,Female,Unknown,54.46,46.14,65.04,176.31,2
1760,Zero,61-65,Widowed,Retired,Retired,Rent from Council/HA,"<10,000, >= 8,000",No,No,1987,Meridian,PO13 0DR,PO13,33.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,6.7,0.0,0.0,-49.57,2
5720,2,31-35,Partner,Secretarial/Admin,Manual Worker,Own Home,Unknown,No,No,1999,HTV,CF83 1TU,CF83,0.0,51.47,29.49,39.45,37.94,80.94,0.0,26.48,4.49,30.44,0.0,Female,Wales,31.67,23.73,31.55,63.44,2
7395,2,41-45,Partner,Unknown,Unknown,Own Home,"<22,500, >=20,000",No,Yes,1992,Meridian,BH14 9HQ,BH14,31.48,54.48,124.94,159.91,27.46,139.84,25.98,94.89,4.99,8.71,0.0,Female,South West,79.65,45.74,75.51,215.98,2
3301,Zero,22-25,Partner,Other,Other,Own Home,"<22,500, >=20,000",No,No,1997,HTV,SN13 0LN,SN13,0.0,0.0,0.0,75.97,4.99,0.0,0.0,17.98,0.0,21.92,0.0,Male,South West,16.19,6.65,16.49,54.15,2
816,Zero,41-45,Partner,Manual Worker,Business Manager,Own Home,"<17,500, >=15,000",No,No,1994,Anglia,CB8 0NH,CB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9,0.0,10.95,0.0,Female,East Anglia,0.0,14.48,12.65,-0.4,2
8193,Zero,61-65,Partner,Retired,Retired,Own Home,"< 8,000, >= 4,000",No,No,1991,Carlton,CM1 3NH,CM1,0.0,0.0,0.0,0.0,21.97,6.98,0.0,0.0,0.0,4.49,0.0,Female,South East,4.39,1.91,4.83,73.57,2
6459,2,31-35,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1998,Central,DY9 0HY,DY9,0.0,29.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,West Midlands,5.9,0.0,0.0,-22.42,2
1284,1,45-50,Partner,Professional,Secretarial/Admin,Own Home,"<27,500, >=25,000",No,No,1983,Carlton,SW15 6RD,SW15,0.0,25.99,20.0,98.43,0.0,29.49,0.0,114.92,0.0,0.0,0.0,Male,South East,28.88,24.07,40.47,72.77,2
4379,Zero,31-35,Divorced/Separated,Business Manager,Business Manager,Own Home,">=35,000",No,No,1990,Scottish TV,KY12 0LP,KY12,0.0,0.0,0.0,4.99,1.0,0.0,0.0,2.99,0.0,0.0,0.0,Female,Scotland,1.2,0.5,1.5,-44.04,2
7785,Zero,65-70,Widowed,Retired,Unknown,Own Home,"<15,000, >=12,500",No,No,1958,Carlton,L19 0PP,L19,99.47,24.97,0.0,81.46,0.0,49.92,72.91,53.97,2.0,0.0,13.98,Female,North West,41.18,32.13,43.38,111.63,2
5660,Zero,65-70,Widowed,Retired,Secretarial/Admin,Own Home,"<12,500, >=10,000",No,No,1995,Scottish TV,G75 8BS,G75,19.48,25.49,0.0,22.49,0.0,78.98,0.0,33.46,9.49,0.0,0.0,Female,Scotland,13.49,20.32,24.07,18.1,2
7973,Zero,36-40,Divorced/Separated,Business Manager,Business Manager,Own Home,">=35,000",No,No,1996,Central,DE24 3EH,DE24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,East Midlands,0.0,0.0,0.0,10.84,2
4526,Zero,41-45,Partner,Professional,Secretarial/Admin,Own Home,">=35,000",No,No,1971,Carlton,N16 9LR,N16,50.47,80.88,20.49,68.76,81.46,54.95,8.99,115.87,14.0,4.49,13.48,Male,South East,60.41,35.3,57.34,191.63,2
4809,Zero,41-45,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1977,HTV,CF34 9PG,CF34,0.0,0.0,0.0,74.48,0.0,0.0,0.0,9.99,0.0,0.0,0.0,Female,Wales,14.9,1.67,14.08,36.9,2
6208,Zero,61-65,Partner,Housewife,Unknown,Own Home,">=35,000",No,No,1981,Carlton,TW15 2JF,TW15,0.0,64.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,13.0,0.0,0.0,17.67,2
1782,1,51-55,Partner,Professional,Housewife,Own Home,">=35,000",No,No,1989,Yorkshire,HU5 5UQ,HU5,34.99,69.48,63.44,127.43,60.93,14.98,90.42,30.98,24.98,12.99,66.99,Male,Unknown,71.25,40.22,58.29,216.86,2
6097,3,31-35,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1996,HTV,SN15 3UR,SN15,0.0,0.0,0.0,0.0,0.0,13.48,69.44,0.0,1.99,3.49,7.98,Female,South West,0.0,16.06,14.15,21.87,2
2632,Zero,41-45,Partner,Other,Business Manager,Own Home,"<27,500, >=25,000",No,No,1993,Anglia,IP14 1SD,IP14,129.98,0.01,0.0,93.95,0.0,34.47,211.26,31.98,19.99,0.0,0.0,Female,East Anglia,44.79,49.62,65.28,150.01,2
8735,Zero,55-60,Partner,Retired,Business Manager,Own Home,">=35,000",No,No,1970,Meridian,BH25 7BL,BH25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,South East,0.0,0.0,0.0,-26.65,2
7301,Zero,65-70,Partner,Housewife,Retired,Own Home,"< 8,000, >= 4,000",No,No,1994,Anglia,NR11 7DY,NR11,0.0,64.99,0.0,109.96,0.0,0.0,0.0,29.48,0.0,0.0,0.0,Female,East Anglia,34.99,4.91,23.24,51.81,2
